domain,tier,category,country,languages,owner,rating_sources,notes
america.cgtn.com,5,state_controlled,CN,en,china-state,Ownership:state;WikipediaRSP:deprecated;MBFC:Questionable,
arabic.cgtn.com,5,state_controlled,CN,ar,china-state,CGTN Arabic — same entity (RSP Deprecated),
arabic.rt.com,5,state_controlled,RU,ar,rossiya-segodnya,"EU Reg 2023/427 + Implementing Reg 2023/722 (RT Arabic listed 2023-04-10, Annex XV); RSP Deprecated (RT)",RT Arabic
arabic.sputniknews.com,5,state_controlled,RU,ar,rossiya-segodnya,Legacy Sputnik Arabic domain; EU Sputnik ban,Legacy
banned.video,5,conspiracy,US,en,banned.video,"RSP Blacklisted (InfoWars family); Iffy Index (2020electioncenter.com = Banned.Video, MBFC Very Low)",InfoWars video platform
beforeitsnews.com,5,conspiracy,US,en,before-its-news,MBFC:Questionable;MBFC:factual=low;Iffy:listed,
canal4.com.ni,5,state_controlled,NI,es,canal4.com.ni,Nicaraguan pro-government channel (Ortega family),
cgtn.com,5,state_controlled,CN,en,china-state,RSP Deprecated (WP:CGTN); MBFC Left-Center / MIXED / LOW credibility (mediabiasfactcheck.com/china-global-television-network-cgtn/); Lin2023 pc1=0.568; FARA-registered (CGTN America); GEC 2023 PRC report; Ofcom licence revoked 2021,CCTV international arm
cubadebate.cu,5,state_controlled,CU,es,cuba-state,Cuban state media (UPEC/ICRT); no MBFC page found,Official Cuban state site
de.rt.com,5,state_controlled,RU,en;es;ar;de,rossiya-segodnya,EU:Reg2022/350;WikipediaRSP:deprecated;MBFC:Questionable;MBFC:factual=very-low;Ownership:state,RT / Russia Today; suspended in the EU by Council Regulation 2022/350
eadaily.com,5,state_controlled,RU,ru;en,eadaily.com,EU 16th package (Feb 2025): EADaily / Eurasia Daily,
egypt.news-pravda.com,5,state_controlled,RU,ar,pravda-network,Pravda network Egypt subdomain (CheckFirst dataset),Arabic-targeting
el19digital.com,5,state_controlled,NI,es,el19digital.com,Nicaraguan Sandinista government portal (FSLN),Ortega-Murillo state outlet
english.almayadeen.net,5,hyperpartisan,LB,en,al-mayadeen,WikipediaRSP:deprecated;MBFC:Questionable,
espanol.almayadeen.net,5,state_controlled,LB,es,al-mayadeen,Al Mayadeen Español — same entity (RSP Deprecated),
espanol.cgtn.com,5,state_controlled,CN,es,china-state,CGTN en Español — same entity as cgtn.com (RSP Deprecated),Spanish-language CGTN
espanol.cri.cn,5,state_controlled,CN,es,china-state,China Radio International Spanish (China Media Group),
esrt.online,5,state_controlled,RU,es,rossiya-segodnya,RT en Español mirror; Lin2023 pc1=0.250,Mirror
esrt.press,5,state_controlled,RU,es,rossiya-segodnya,RT en Español mirror; Lin2023 pc1=0.346,Mirror
esrt.space,5,state_controlled,RU,es,rossiya-segodnya,RT en Español mirror (esrt.space/actualidad),Mirror
esrt.tech,5,state_controlled,RU,es,rossiya-segodnya,RT en Español mirror; Lin2023 pc1=0.422,Mirror
farsnews.ir,5,state_controlled,IR,fa;en;ar,farsnews.ir,IRGC-affiliated; US Treasury sanctioned 2020,
fondsk.ru,5,state_controlled,RU,ru,fondsk.ru,EU 16th package (Feb 2025): Fondsk,
geopolitika.ru,5,state_controlled,RU,ru;en;es;+,geopolitika.ru,Dugin/Malofeev network; GEC 2020 'Pillars' (Geopolitica.ru),Spanish edition exists
globalresearch.ca,5,conspiracy,CA,en;es,centre-for-research-on-globalization,MBFC:Conspiracy-Pseudoscience;MBFC:factual=low;Iffy:listed,
globaltimes.cn,5,state_controlled,CN,en;zh,china-state,RSP Deprecated (WP:GLOBALTIMES); Lin2023 pc1=0.543,People's Daily subsidiary
granma.cu,5,state_controlled,CU,es;en,cuba-state,"MBFC Far Left / MIXED / Low Credibility, propaganda, lack of transparency (mediabiasfactcheck.com/granma-cuba-bias/); Iffy Index (en.granma.cu); Lin2023 pc1=0.596",Official organ of the Cuban Communist Party
hispantv.com,5,state_controlled,IR,es,irib,"HispanTV — IRIB Spanish channel (same parent as Press TV, RSP Deprecated); EU sanctions on IRIB (2013); YouTube/Google removed accounts 2013/2018 for sanctions",Primary Iranian Spanish-language outlet targeting LatAm
infowars.com,5,conspiracy,US,en,free-speech-systems,"MBFC Extreme Right / VERY LOW / Low Credibility, Conspiracy-Pseudoscience (mediabiasfactcheck.com/infowars/); RSP Blacklisted+Deprecated (WP:INFOWARS); Lin2023 pc1=0.046; Ad Fontes 15.90; Iffy Index",
irna.ir,5,state_controlled,IR,fa;en;es;ar,irna.ir,Islamic Republic News Agency — official state agency,Spanish and Arabic editions
iz.ru,5,state_controlled,RU,ru,iz.ru,EU broadcasting ban May 2024 (Izvestia),
journal-neo.su,5,state_controlled,RU,en;es;ar,journal-neo.su,New Eastern Outlook — GEC 2020 'Pillars' report; US Treasury sanctioned 2021,Proxy; Spanish/Arabic editions
katehon.com,5,state_controlled,RU,en;es;ar;+,katehon.com,GEC 2020 'Pillars' report names Katehon as proxy; Konstantin Malofeev network (EU/US-sanctioned individual),Has Spanish and Arabic editions
latamnews.lat,5,state_controlled,RU,es,rossiya-segodnya,Duplicate of Sputnik Mundo launched spring 2024 (Insight News / Espreso),Rebrand #3
lenta.ru,5,state_controlled,RU,ru,lenta.ru,EU 16th package (Feb 2025): Lenta broadcasting ban,
mundo.sputniknews.com,5,state_controlled,RU,es,rossiya-segodnya,Sputnik Mundo original domain; Lin2023 pc1=0.362; EU Sputnik ban,Legacy Spanish domain
naturalnews.com,5,conspiracy,US,en,natural-news,"MBFC Far Right Conspiracy-Pseudoscience / VERY LOW (mediabiasfactcheck.com/natural-news/); RSP Blacklisted+Generally unreliable; Lin2023 pc1=0.000 (bottom of 11,520); Ad Fontes 9.31; Iffy Index",Anti-vaccine hub; naturalnewsblogs.com/naturalnewsradio.com also scored ≤0.26 by Lin
news-front.info,5,disinformation_network,RU,en;es,wikimedia,WikipediaRSP:blacklisted;Iffy:listed,
news-front.su,5,state_controlled,RU,ru;en;es;+,news-front.su,EU 16th package (Feb 2025): NewsFront; GEC 2020 'Pillars' report names News Front as proxy site,Crimea-based; has Spanish edition (es.news-front.su)
news-pravda.com,5,state_controlled,RU,multi,pravda-network,"Pravda / Portal Kombat network — VIGINUM (Feb 2024, 224 portals), DFRLab+CheckFirst (2025), American Sunlight Project (Feb 2025), EU 17th package (May 2025) listed network operators; CheckFirst data repo (MPL-2.0) counts 3,802 citations of news-pravda.com in Wikipedia/Community Notes",Hub domain; ~140 country/language subdomains
news.cn,5,state_controlled,CN,zh;en;es;ar,china-state,Xinhua primary domain (same as xinhuanet.com),spanish.news.cn and arabic.news.cn are the Spanish/Arabic editions
newspunch.com,5,conspiracy,US,en,newspunch,MBFC:Questionable;MBFC:factual=very-low;Iffy:listed,Formerly YourNewsWire
newstarget.com,5,conspiracy,US,en,newstarget.com,RSP Blacklisted (Natural News family),
newswars.com,5,conspiracy,US,en,newswars.com,RSP Blacklisted (InfoWars family),
noticiaslatam.lat,5,state_controlled,RU,es,rossiya-segodnya,Current Sputnik Mundo domain (site self-identifies as 'Sputnik Mundo'),Rebrand #2; live as of 2026
ntv.ru,5,state_controlled,RU,ru,ntv.ru,"EU broadcasting ban (NTV/NTV Mir, 2022 packages); Gazprom-Media",Admin to confirm annex entry text
orientalreview.su,5,state_controlled,RU,en,orientalreview.su,ISD 2025 audit lists Oriental Review among EU-listed entities; GEC 2020 'Pillars',Proxy
people.com.cn,5,state_controlled,CN,zh;en;es;ar,people.com.cn,CCP Central Committee organ; GEC 2023 PRC report,spanish.peopledaily.com.cn and arabic.people.com.cn editions
plenglish.com,5,state_controlled,CU,en,cuba-state,Ownership:state,Prensa Latina English
pravda-de.com,5,disinformation_network,RU,es;en;fr;de,pravda-network,VIGINUM:PortalKombat-2024;WikipediaRSP:blacklisted,Pravda / Portal Kombat network documented by VIGINUM (Feb 2024)
pravda-en.com,5,state_controlled,RU,en,pravda-network,Pravda network English domain (CheckFirst dataset),
pravda-es.com,5,state_controlled,RU,es,pravda-network,Pravda network Spanish domain (CheckFirst dataset),MBFC also has 'Pravda Spain' page (pravda-spain-bias-and-credibility)
pravda-fr.com,5,disinformation_network,RU,es;en;fr;de,pravda-network,VIGINUM:PortalKombat-2024;WikipediaRSP:blacklisted,Pravda / Portal Kombat network documented by VIGINUM (Feb 2024)
prensa-latina.cu,5,state_controlled,CU,es;en,cuba-state,Cuban state news agency (Prensa Latina); no MBFC page found,plenglish.com is English edition
presstv.com,5,state_controlled,IR,en,irib,Press TV alternate domain; Lin2023 pc1=0.234,Seized by US DOJ 2021; use presstv.ir
presstv.ir,5,state_controlled,IR,en,irib,"RSP Deprecated (WP:PRESSTV); MBFC Right / LOW / Low Credibility, propaganda (mediabiasfactcheck.com/press-tv/); Lin2023 pc1=0.691 (presstv.ir) / 0.234 (presstv.com); EU-sanctioned entity (2013, Council Reg 267/2012 — human-rights listing); Ofcom licence revoked 2012; US seized presstv.com 2021",IRIB World Service
projectveritas.com,5,hyperpartisan,US,en,projectveritas.com,RSP Blacklisted+Deprecated (WP:VERITAS),
ren.tv,5,state_controlled,RU,ru,ren.tv,"EU broadcasting ban (REN TV, 2022 packages)",National Media Group
rg.ru,5,state_controlled,RU,ru,rg.ru,EU broadcasting ban May 2024 (Rossiyskaya Gazeta),Russian government's official gazette
ria.ru,5,state_controlled,RU,ru,rossiya-segodnya,EU broadcasting ban May 2024 (RIA Novosti); RSP No consensus,Rossiya Segodnya
rt.com,5,state_controlled,RU,en,rossiya-segodnya,EU Reg 2022/350 broadcasting ban (RT English/UK/DE/FR/Spanish); RSP Deprecated (WP:RT.COM); MBFC Questionable/propaganda; Lin2023 pc1=0.293; NewsGuard 20/100 (Press Gazette); GEC 2022 'Kremlin-Funded Media' report; Ad Fontes 28.33 'Mixed Reliability/Opinion OR Other Issues'; FARA-registered (T&R Productions),"ANO TV-Novosti; includes Ruptly, Redfish, Maffick per RSP"
rubaltic.ru,5,state_controlled,RU,ru,rubaltic.ru,EU 16th package (Feb 2025): RuBaltic,
sana.sy,5,state_controlled,SY,ar;en;es,syria-state,MBFC Left / MIXED / Low Credibility (mediabiasfactcheck.com/syrian-arab-news-agency-sana-bias-and-credibility/),Syrian state agency; note post-Dec-2024 regime change — status may evolve; has Spanish edition
sarabic.ae,5,state_controlled,RU,ar,rossiya-segodnya,Sputnik Arabic current domain; Sputnik Arabic listed by EU 2023-04-10 (Reg 2023/427),Registered under .ae TLD
smotrim.ru,5,state_controlled,RU,ru,smotrim.ru,"VGTRK (Rossiya 1 / Rossiya RTR / Rossiya 24) — EU broadcasting bans 2022 (RTR Planeta, Rossiya 24)",VGTRK streaming portal; vesti.ru is the news portal
southfront.org,5,disinformation_network,RU,en,wikimedia,MBFC:Conspiracy-Pseudoscience;MBFC:factual=low;WikipediaRSP:blacklisted,
southfront.press,5,state_controlled,RU,en,southfront.press,EU 16th package (Feb 2025): SouthFront; US Treasury sanctioned 2021,Proxy site
spain.news-pravda.com,5,state_controlled,RU,es,pravda-network,Pravda network Spain subdomain (CheckFirst dataset),
spanish.news-pravda.com,5,state_controlled,RU,es,pravda-network,Pravda network Spanish subdomain — 274 citations in CheckFirst Wikipedia/Community-Notes dataset,Spanish-language laundering portal
spanish.peopledaily.com.cn,5,state_controlled,CN,es,china-state,People's Daily Spanish edition (same entity),
spanish.xinhuanet.com,5,state_controlled,CN,es,china-state,Xinhua Español (same entity),Legacy Spanish domain
sputnikglobe.com,5,state_controlled,RU,en,rossiya-segodnya,Sputnik rebrand domain (2023) — same entity as sputniknews.com,Rebrand
sputniknews.com,5,state_controlled,RU,en,rossiya-segodnya,EU Reg 2022/350 (Sputnik); RSP Deprecated (WP:SPUTNIK); MBFC Questionable / 'very Low' factual (mediabiasfactcheck.com/sputnik-news/); Lin2023 pc1=0.346; FARA (RIA Global / RM Broadcasting); GEC 2022,Rossiya Segodnya
sputniknews.lat,5,state_controlled,RU,es,rossiya-segodnya,"Sputnik Mundo domain adopted late 2022, later sanctioned/blocked",Rebrand #1
strategic-culture.org,5,disinformation_network,RU,en,strategic-culture-foundation,MBFC:Questionable;MBFC:factual=very-low;Iffy:listed,
strategic-culture.su,5,state_controlled,RU,en,strategic-culture.su,EU 16th package (Feb 2025): Strategic Culture Foundation; GEC 2020 'Pillars'; US Treasury sanctioned 2021,Proxy site (formerly .org)
swentr.site,5,state_controlled,RU,en,swentr.site,RT mirror domain used after 2022 blocks,Mirror
syria.news-pravda.com,5,state_controlled,RU,ar,pravda-network,Pravda network Syria subdomain (CheckFirst dataset),Arabic-targeting
tasnimnews.com,5,state_controlled,IR,fa;en;ar,tasnimnews.com,"Iffy Index (MBFC Questionable, Low credibility, lang=ar); IRGC-affiliated",Arabic edition in Iffy
tass.com,5,state_controlled,RU,en;ru,tass,RSP Generally unreliable (WP:TASS); Lin2023 pc1=0.344; EU 16th-package deliberations (Meduza 2025-01-30),Tass.ru is the Russian edition
tass.ru,5,state_controlled,RU,ru,tass,Ownership:state;WikipediaRSP:generally-unreliable;MBFC:Questionable;MBFC:factual=mixed,
telesurenglish.net,5,state_controlled,VE,en,telesur,"Iffy Index (MBFC Questionable, Low; Wiki RSP deprecated); Lin2023 pc1=0.401",English edition
telesurtv.net,5,state_controlled,VE,es,telesur,"RSP Deprecated (Telesur); MBFC Left / MIXED / Low Credibility, propaganda (mediabiasfactcheck.com/telesur/); Lin2023 pc1=0.217; Iffy Index lists telesurenglish.net (Wiki RSP+DEPS flags); US Treasury sanctioned teleSUR's parent? (not — but Venezuelan state-owned)",Venezuelan government multi-state channel; Spanish-language flagship
thegatewaypundit.com,5,conspiracy,US,en,gateway-pundit,"MBFC Extreme Right / VERY LOW / Low Credibility, propaganda (mediabiasfactcheck.com/the-gateway-pundit/); RSP Deprecated; Lin2023 pc1=0.109; NewsGuard 'unreliable'; Iffy Index",Election-fraud misinformation
tsargrad.tv,5,state_controlled,RU,ru,tsargrad.tv,Malofeev-owned; sanctioned individual; YouTube removed channel 2020 (sanctions),
tvc.ru,5,state_controlled,RU,ru,tvc.ru,EU broadcasting ban June 2022 (TV Centre International),
tvzvezda.ru,5,state_controlled,RU,ru,tvzvezda.ru,EU 16th package (Feb 2025): Krasnaya Zvezda / Tvzvezda,Russian MoD channel
usa.news-pravda.com,5,state_controlled,RU,en,pravda-network,Pravda network US subdomain — 292 citations (CheckFirst dataset),Targets US audiences
vesti.ru,5,state_controlled,RU,ru,vesti.ru,VGTRK (Rossiya 24) — EU broadcasting ban June 2022,
veteranstoday.com,5,conspiracy,US,en,wikimedia,WikipediaRSP:blacklisted;MBFC:Conspiracy-Pseudoscience;MBFC:factual=very-low,
voiceofeurope.com,5,state_controlled,RU/CZ,en,voiceofeurope.com,EU broadcasting ban May 2024 (Voice of Europe); Czech sanctions Mar 2024 (Medvedchuk network),
vtv.gob.ve,5,state_controlled,VE,es,venezuela-state,Venezolana de Televisión — Venezuelan government channel (.gob.ve),Official state TV
xinhuanet.com,5,state_controlled,CN,zh;en,china-state,"RSP No consensus (WP:XINHUA — 'state media, not reliable for contentious topics'); MBFC Left / MIXED / LOW credibility (mediabiasfactcheck.com/xinhua/); Lin2023 pc1=0.308; DOJ requested FARA registration; GEC 2023 PRC report",State news agency; also news.cn
